Comentário,Classificação
"Faz 2 dias que tento entrar telefonicamente com a consulta de senologia e ninguém atende o telefone do Hospital da Luz de Lisboa. Fiz biópsia à mama no dia 19/04, não tenho resultado , a ansiedade que provoca …. Serviço de apoio via WhatsApp da app da Luz não responde as mensagens. Nunca pensei passar por isto neste hospital!!",App / Atendimento
Estou decepcionado com o My Luz Apps e com a resposta do Luz Saúde no WhatsApp. Muito lento e sem informações claras sobre a verificação nos aplicativos para acessar o resultado do exame. Já se passou mais de uma semana e ainda não obtive resposta.,App / Atendimento
"O ""Apoio ao Cliente"" através da APP, telefone ou Whatsapp é um engano. Está vocacionado apenas para vender consultas e exames, para tudo o resto é ineficaz.",App / Atendimento
"Respostas pelo WhatsApp, além de incompletas, chegam a levar mais de um dia para acontecer. Eles respondem fazendo uma nova pergunta, e, mesmo que você responda naquele momento, a resposta deles nunca vêm. É preciso reiniciar todo o diálogo e ficar aguardando dias para responderem. Uma vergonha.",App / Atendimento
"Meu filho e eu fizemos o teste PCR no Hospital da Luz na quarta-feira, 21 de julho. Dois dias depois, o resultado ainda não estava no aplicativo e eles nem atenderam o telefone!!! É um hospital, pelo amor de Deus!!! Tive que ir até o hospital para imprimir os testes na recepção, o que me lembrou a era do papel do século XX. Eles cobram 90 euros por cada teste!!! Mas oferecem um serviço péssimo.",App / Atendimento
"Dia 22 deste mês, fui fazer alguns exames, nomeadamente uma Tomossintese mamária (?), que me cobraram 66,10 €. Após contacto telefónico foi-me dito que não há comparticipação pela Medis. Aquando da marcação nada me foi referido.
Tive uma consulta de Dermatologia, cobrando um valor 38,50 €, quando o valor é de 15€ . Fiz a reclamação telefónica e ainda não paguei.
Verifica-se que cada vez cobram mais aos doentes e não informam os mesmos.
Mais para mim....não passou de uma mamografia!
Aguardo resposta",Atendimento Hospitalar
"Venho por este meio apresentar reclamação relativa ao atendimento prestado pelo Hospital da Luz, no âmbito da realização de exames (ecografias) marcados através do meu seguro de saúde.

Agendei as ecografias através do meu seguro, presumindo que seriam cobertas pela apólice. No dia do exame, dirigi-me ao balcão de admissão, onde me solicitaram a prescrição médica e os dados do seguro. Não me foi comunicado qualquer valor a pagar nem me foi entregue qualquer orçamento. Após a realização do exame, fui informada de que poderia sair, sem que me fosse novamente solicitado qualquer pagamento ou fornecida qualquer informação adicional.

Para minha surpresa, no dia seguinte recebi uma SMS a indicar que tinha um valor de 90 euros em dívida. Considero esta situação inadmissível, uma vez que não fui devidamente informada antecipadamente do custo dos exames. Se tivesse tido essa informação no momento da admissão, teria optado por não realizar os exames nessa unidade e procurado uma alternativa mais adequada às minhas condições, nomeadamente através do Serviço Nacional de Saúde.

Não concordo com a cobrança posterior de um valor que não me foi comunicado previamente, e considero que houve falta de transparência na comunicação por parte do Hospital da Luz. Solicito a anulação deste valor e que seja feita uma avaliação interna para garantir que, no futuro, os utentes sejam devidamente informados dos custos antes da realização de qualquer exame ou procedimento.

Fico a aguardar uma resposta e resolução célere desta situação.
",Atendimento Hospitalar
"
Estou a tentar fazer uma marcação de exames à 2 semanas. A marcação online é pouco prática. Tentei dar os dias a que posso fazer o exames. em vez de marcarem e enviarem a marcação por email, ou sms, ligam. Como trabalho e não posso atender enquanto trabalho, tento devolver a chamada . Espero 20 mn e ninguém me atende. Já fiz este processo pelo menos 6 vezes. Neste momento estou outra vez a tentar marcar. A máquina que atende,, disse à maquina que queria falar com um humano, mandou-me para um operador. Espero há 10mn. Enquanto escrevo este email, alguém me atende. Afinal a marcação tem de ser feita pela imagiologia, fico outra vez à espera!! Já estou à espera à 14 minutos.

Como é possível o hospital da luz estar neste estado, antigamente ligava e um assistente fazia as marcações de tudo. Escolhem poupar nos recursos e eu escolha ir ao Trofa SAÚDE!
Acabei a reclamação ....ainda estou à espera....já passaram 17 minutos a ouvir a música horrorosa que escolheram!!!
20 minutos depois atendem e a chamada cai...É ISTO!!",Call Center
"Exmos. Senhores,

Venho por este meio apresentar uma reclamação relativamente ao serviço de radiologia do Hospital da Luz em Aveiro.

A minha filha, Ana Rita Cascais Figueiro, realizou uma ressonância magnética no dia 07/10/2025, conforme fatura n.º LFR2025124141, no valor de 70,00€, com vista à consulta de seguimento agendada para o dia 18/10/2025. No entanto, até à data de hoje, o relatório do exame ainda não se encontra disponível. Segundo informação que consegui apurar, o médico radiologista responsável ainda não teve oportunidade de o elaborar.

Esta situação é inadmissível, pois obriga-nos a deslocações desnecessárias e à remarcação de consultas, com impacto direto na gestão do tempo e na continuidade dos cuidados de saúde. Por este motivo, cancelei não só a consulta da minha filha como também todas as minhas consultas futuras neste hospital, optando por recorrer a outras unidades de saúde da região que oferecem maior eficiência e respeito pelo utente.

Solicito, portanto, a devolução do valor de 70€ cobrado pela realização do exame, uma vez que o serviço não foi concluído dentro de um prazo razoável e comprometeu o acompanhamento clínico previsto.

Aguardo uma resposta célere e a resolução desta situação.

Com os melhores cumprimentos,
Sandra Teixeira",Atendimento Hospitalar
"Fiquei bastante insatisfeito com o atendimento que recebi no Hospital da Luz. Os atendentes foram pouco simpáticos e nada cordiais, passando a sensação de que estavam a fazer um favor em atender-me. Num hospital com esta reputação, esperava um tratamento mais humano e acolhedor.",Atendimento Hospitalar
"Estive ontem com meu pai idoso com 73 anos para ser atendido no Hospital da Luz Lisboa. Entramos às 23:47 e às 03:30 da madrugada meu pai continuava mal e sem atendimento. Falei no balcão, mas nada resolveram. É um absurdo um hospital particular enorme como este prestar um serviço de péssima qualidade. Será que sabem o significado de emergência? Estou bastante revoltada com o descaso que o hospital tem com o paciente, pois não importa se você está passando mau, com dor e etc, mas você precisa esperar a boa vontade deles atenderem. Realmente lastimável e esta situação não pode continuar ocorrendo.",Atendimento Hospitalar/Tempo de Espera
"Fui a uma consulta de oftalmologia dia 24 de Setembro, (110 Euros) sendo que no próprio dia contactei o Hospital a pedir uma segunda Via da receita, que por lapso foi perdida.
Já perdi a conta aos telefonemas que fiz e mails que mandei para esta unidade sem qualquer resposta a não ser que vai ser analisado e tratado tão breve quanto possível e respostas de email automáticas.

Para a consulta foi rápido, para o seu pagamento mais rapido ainda.

Qual será a dificuldade de remeter uma segunda via?

Tenho conhecimento que o Dr em causa já deu consultas pelo menos por 2 vezes apos o meu pedido na unidade.",Atendimento Hospitalar
"Dia 2/10 fiz uma endoscopia digestiva no Hosp da Luz de Lisboa com biopsia que por acaso não estava prescrita e com sedação
Nos dias seguintes estive com muitas dores e muito inchada e no domingo dia 5 decidi marcar uma consulta de medicina geral para pedir que me dessem algo para aliviar as dores e mau estar
Consegui consulta para dia 6, 9,40 dra Paula Frota. Fui atendida expus a situação, e recebi um papel escrito da medica com a indicação de me dirigir à triagem. Não tendo percebido onde deveria ir, explicaram-me que era nas urgencias. Comecei a pensar acabei de pagar 110€ por uma consulta de medicina geral e agora nas urgencias vou ver outro medico de medicina geral e reclamam-me mais 133.30 e 150€ de caucão… tudo muito estranho. Sempre a achar que haveria uma razão…Fui à triagem expliquei e pensei que com a descrição da medica iria ser atendida
Resumindo ao fim de 3 horas de hospital já tinha pago 110€ + 133 + 150 e ainda ninguém me tinha aconselhado, examinado…e apó 2 horas na sala de espera das urgências
Decidi, sem saber se o meu caso seria ou não grave, (dores fortes apos endoscopia apos varios dias), ir embora. Na recepção fiz a saida e mais tarde creditaram os valores pagos na urgência .
Para além de não ter sido examinada teria de pagar 2 consultas.
Felizmente estou melhor e espero não vir a ter complicações mas mereço para além de uma explicação a devolução do pagto da consulta 110€",Atendimento Hospitalar
"
No passado dia 12/09/2025 tinha as vacinas agendadas para a minha bebe de 4 meses (3 + 1 oral), pelas 17h30.
Entre chegar, tirar a senha e confirmar a entrada , deu-se um atraso de 8 minutos.
Neste espaço de tempo a enfermeira não passou por mim.
Fiquei a aguardar mais de 40 min, já com a bebé super impaciente.
Chega a enfermeira , foi pedir à assistente informação sobre a hora da minha senha e quando me chama para a sala diz "" a senhora não estava cá à hora marcada"". Respondi que tinha confirmado a presença no balcão com 8 minutos de atraso e que tal não era justificação para ter que esperar mais de 40 minutos.
Responde que como eu não estava,foi ao café com a sua amiga e que apartir do momento em que eu não estou na sala na hora certa, ela pode fazer o que bem lhe apetecer.
A minha bebe levou as 4 vacinas a correr por causa da sua falta de profissionalismo.
Com certeza que existem horários para ir para o café com as amigas que não no horário laboral.
Alerto ainda que para passar para o café, teria que ter passado por mim na recepção e eu estava às 17h20 na recepção e ela não passou lá.",Mau antendimento dos Profissionais de Saúde
"Agendei, no dia 03/10, consulta de neuropediatria presencialmente ao balcão do hospital da luz de Oeiras para a minha filha de 5 meses, para o próximo dia 13/10/2025 para a médica Clara Marecos.
Hoje, dia 7 a Dra Clara Marecos cancelou a consulta com a informação de que fechou a agenda até 2026, remarcando automaticamente para fevereiro de 2026.
Não houve um contacto, nada , apenas uma SMS e um email com a remarcação.
Aceito que a pessoa em causa tenha um compromisso no dia da consulta, mas tem que arranjar uma solução para uma data mais próxima e não remarcar para 5 meses depois sem qualquer contacto.
Perdi uma marcação para dia 15 por causa desta marcação e agora não consigo consultas em lado nenhum para 2025.
Péssima profissional que coloca uma mãe com uma bebe sem alternativa por causa de um erro seu.
Não recomendo.",Prazos de remarcação de consulta
"No dia 4 de setembro, fui submetida a um procedimento cirurgico no H. da Luz de Lisboa, procedimento esse em que fiquei internada só algumas horas e depois vim para casa. Antes de expor a minha queixa não posso deixar de referir o quanto fui bem tratada por todo o pessoal com quem contactei, bem como as excelentes condições do quarto e restantes espaços fisicos.
O procedimento a que fui sujeita, demorou cerca de uma hora e foi a titulo particular, com um valor previamente definido e que aceitei pagar. Depois da cirurgia e feitas as contas seria recercida do valor se a ele houvesse lugar.
No dia a seguir recebi a fatura com os valores totais e com a discriminação de todo o material gasto. Desse valor, foi-me devolvida uma determinada quantia que recebi passado uma semana.
A minha queixa tem a ver com o material discriminado na fatura em que alguns itens foram cobrado mais do que os que foram usados, nomeadamente a titulo de exemplo, o cateter endovenoso em que foram cobrados dois mas só um foi usado. Como sou profissional de enfermagem sei prefeitamente o que estou a dizer, o cateter que me foi colocado antes de ir para o bloco foi o que me foi retirado depois do procedimento e não tinha mais sinais de punção de outra veia. Assim como o cateter venoso foram cobradas lancetas (3)para determinação de glicemia capilar, mas não tinha qualquer picada nos dedos. Posso identificar na fatura alguns itens cobrados mas que não foram usados.
Não fico mais pobre com o que paguei a mais, mas o hospital tem de ter mais cuidado quando assinalam o material usado, não pode ser uma checklist em se coloca a cruz em tudo, seja usado ou não, porque ao aceitar o valor proposto tambem se espera que a entidade que fornece o serviço seja correta nas contas.",Cobrança indevida
"ONTEM DIA 02 DE OUTUBRO, RECORREMOS AO SERVIÇO DE ATENDIMENTO PERMANANTE DO HOSPITAL DA LUZ, AO QUAL CHEGÁMOS ÀS 21,30H.
COM UMA SITUAÇÃO DE PRESSÃO ARTERIAL COMPLETAMENTE DESCONTROLADA DA MINHA ESPOSA, FICÁMOS MAIS UMAS DEZENAS DE PESSOAS AMONTOADOS À ESPERA DE ATENDIMENTO. APENAS ESTAVAM A FUNCIONAR UM, DOIS E POR VEZES TRÊS GABINETES MÉDICOS, COM TODAS AS PESSOAS PRESENTES COMPLETAMENTE DESTROÇADAS PELA FALTA DE RIGOR E O EXCESSIVO TEMPO DE ESPERA, DO ATENDIMENTO URGENTE.
FOMOS ATENDIDOS Á 1,30H, OU SEJA, QUATRO HORAS DEPOIS DE ENTRARAMOS. A PRESSÃO ARTERIAL DA MINHA MÁXIMA ESPOSA QUE NA TRIAGEM TINHA DADO 131/84, AQUANDO DO ATENDIMENTO DEU 162/87...
QUEM ASSUME O DESCONFORTO E AS HORAS DE ANGUSTIA DOS ""CLIENTES"" DO HOSPITAL, QUE, EM VEZ DE CONTRIBUIR PARA QUE AS PESSOAS MELHOREM APENAS CONTRIBUI PARA QUE FIQUEM MAIS DOENTES E AINDA POR CIMA PAGUEM, POR UM ""SERVIÇO"" QUE NÃO FUNCIONA EM FUNÇÃO DO NUMERO DE PESSOAS QUE DELE DEPENDEM.
APÓS A TOMADA DE MEDICAÇÃO E EFECTIVAÇÃO DE ANÁLISES CLINICAS QUE NEM CONSTAM DA NOTA DE ALTA, SAIMOS DALI POR VOLTA DAS 5,00H (SETE HORAS E MEIA DEPOIS DE ENTRARAMOS).
É INADMISSIVEL O QUE SE PASSA NUM HOSPITAL QUE NO SERVIÇO DE ATENDIMENTO PERMENENTE, À NOITE NÃO FUNCIONA DE TODO.",Tempo de espera 
"Boa tarde.
Desloquei-me ao Hospital da Luz Lisboa no passado dia 18 de Setembro para o meu marido realizar vários exames.
Acompanhei-o, como sempre, uma vez que ele tem uma incapacidade de 71% (resultante de um AVC), tem um linfoma, já não conduz, e vivemos em Castelo Branco.
Esqueci-me de pedir no Hospital da Luz Lisboa, no próprio dia, a justificação como acompanhante.
Após muita insistência minha, por diversos meios, a referida entidade recusa-se a passar-me o documento correndo eu o risco de a minha entidade patronal considerar falta injustificada com o consequente desconto no vencimento.
Compreendo que haja regras mas não consigo conceber que não possa ser aberta uma exceção neste caso.
Estou muito insatisfeita com a pouca abertura demonstrada.",Atendimento Hospitalar
"Venho por este meio apresentar reclamação formal referente à cobrança de €628,60 relativa a exames realizados no Hospital da Luz Póvoa de Varzim em 03/06/2023.

No momento do atendimento não fui informada previamente sobre os valores dos exames, nem recebi explicações claras sobre procedimentos adicionais.

Foi realizado um exame ginecológico não previsto, sem explicação adequada.
A informação transmitida à época foi de que o seguro trataria da questão, motivo pelo qual não fui alertada sobre eventual pagamento direto.
O exame de sangue realizado pelo hospital apresentou um resultado incorreto (diagnóstico de hepatite C), que posteriormente se confirmou como falso positivo, após múltiplos testes em Portugal e no Brasil.

Esse erro grave causou prejuízo financeiro (novos exames, consultas adicionais) e sofrimento emocional significativo, tendo em conta a gravidade do diagnóstico inicial.
Apesar de já ter contactado anteriormente o hospital para esclarecer o assunto, a cobrança continua ativa e inclusive recebi notificação mencionando possível ação judicial.
Diante do exposto, considero esta cobrança indevida e abusiva, e solicito a revisão imediata do caso, com cancelamento da dívida.
",Cobrança indevida
"No dia 24/09/2025 tinha uma marcação para uma mini cirurgia (em ambulatório) para as 14:30 no Hospital da Luz em Setúbal. Cumprindo com as normativas, que por norma são utilizadas nestas circunstâncias, estava meia hora antes (às 14:00) presente no piso/secção e com a entrada efectuada no balcão.
Esperei até às 15:30 (hora e meia após a entrada e 1 hora após a data da marcação) sem ninguém me dar uma satisfação sobre o atraso. Apenas após me dirigir ao balcão a exigir uma satisfação é que me indicaram que tinham tido a informação que todas as consultas/procedimentos para o médico em questão estavam atrasados em 1 hora e meia - sendo que neste sentido, na melhor das hipóteses daria entrada às 16:00.
Acho inadmissível um cliente estar, para uma marcação num slot horário indicado pelo professional de saúde, num privado e para uma intervenção simples (numa vertente de ambulatório), 1 hora à espera sem nenhum tipo de feedback dos vários profissionais que estão no balcão de frente para as salas de espera a fazer a logística dos serviços - sobretudo tendo a informação prévia que existem atrasos significativos. Atrasos e imprevistos podem ocorrer, o que é exigível e tem de acontecer (sim ou sim) é ser dada a explicação ao consumidor e uma previsão dos eventos, para o ónus da decisão ser do próprio [se remarca, se cancela, se decide aguardar, o que seja...]

No ramo da saúde está absolutamente normalizado o conceito de atrasos e serviços vagarosos, enquanto o mesmo tipo de funcionamento não é tolerado em outras áreas. Se nos serviços de saúde de urgências ainda se pode entender os motivos, para consultas e marcações, sobretudo no privado, não pode existir a normalização deste tipo de práticas. Como consumidor e estando a pagar (e bem), exijo ser tratado com respeito/cordialidade, transparência e ser informado sempre e quando qualquer premissa se altere do que estava estabelecido em 1ª instância.",Tempo de espera 
"Estou grávida de 37 semanas e estava a ser seguida pela Dra Blandina neste hospital. No dia 23.9.25 tinha uma consulta marcada para as 15h, mas esta dra nunca cumpre as horas das consultas e vai avisando as pacientes as horas que se hão-de dirigir para o hospital. Neste dia disse para estar as 18h no hospital e mesmo assim, como sei como ela trabalha, cheguei ao mesmo, às 18h33 para a consulta. Só tinha uma paciente à minha frente que entrou por volta das 19h20. (Posso dizer que tive à espera cerca de 4h desde a entrada no hospital até resolver ir embora pelo absurdo de tempo de espera e por nao achar normal esta dra levar mais de 3h com a mesma paciente. Tendo o nr dela, enviei sms a informar que já nao tinha posição, que estava ali sem jantar e que precisava de estar em casa a horas (tenho dois filhos menores). O tempo de espera com esta Dra é inadmissível (durante a minha gestação, cheguei a sair das consultas dela de madrugada por 2x, uma as 3h da manha, entrando para a consulta às 00h e outra quase às 5h da manha entrando para a consulta por volta da 1h da manha). Isto é algo habitual com esta dra e é um desrespeito pelos pacientes, pacientes essas que estão grávidas. Nesse mesmo dia cheguei a fazer também reclamação no livro de reclamações por volta das 22h48 que foi a hora que sai de lá. Estava no carro quando ainda me ligaram do hospital a dizer que a paciente tinha acabado de sair, mas já nao voltei atras, até porque ignorou as minhas sms e nem um pedido de desculpas tive direito.",Atendimento Hospitalar
"enho por este meio apresentar uma reclamação relativamente à minha experiência no Hospital da Luz de Oeiras no dia 23 de setembro de 2025.
Tinha uma ecografia marcada para as 08h30, com a médica Carla Rodrigues Saraiva, tendo efetuado concluído o check-in às 08h25. Nesse momento, fui informada que, por regra, a médica responsável apenas chega ao hospital às 09h00. Esta situação é, no mínimo, inaceitável, uma vez que:
1. A marcação foi feita para as 08h30, presumindo-se que a equipa médica estaria disponível a essa hora;
2. Atrasos sistemáticos por parte da médica não deveriam ser da responsabilidade dos utentes;
3. Se a médica só inicia funções às 09h00, então as marcações deveriam ser ajustadas em conformidade, evitando esperas desnecessárias e falta de respeito pelo tempo dos utentes.
Solicito que esta situação seja devidamente analisada e que sejam tomadas medidas para evitar que se repita, garantindo maior rigor na gestão de horários e o fundamental respeito pelos utentes.",Tempo de espera 
"Venho por este meio apresentar uma reclamação relativamente à minha experiência no Hospital da Luz de Oeiras no dia 23 de setembro de 2025.
Tinha uma ecografia marcada para as 08h30, com a médica Carla Rodrigues Saraiva, tendo efetuado concluído o check-in às 08h25. Nesse momento, fui informada que, por regra, a médica responsável apenas chega ao hospital às 09h00. Esta situação é, no mínimo, inaceitável, uma vez que:
1. A marcação foi feita para as 08h30, presumindo-se que a equipa médica estaria disponível a essa hora;
2. Atrasos sistemáticos por parte da médica não deveriam ser da responsabilidade dos utentes;
3. Se a médica só inicia funções às 09h00, então as marcações deveriam ser ajustadas em conformidade, evitando esperas desnecessárias e falta de respeito pelo tempo dos utentes.
Solicito que esta situação seja devidamente analisada e que sejam tomadas medidas para evitar que se repita, garantindo maior rigor na gestão de horários e o fundamental respeito pelos utentes.",Tempo de espera 
"Dirigi-me à Clínica da Luz em Setúbal, com consulta agendada para Medicina Geral e Familiar. Apenas aguardei uns 5-10 minutos até ser atendida. Entrei no consultório, a médica perguntou-me imediatamente qual a minha queixa e eu expliquei os sintomas.
1) Não me perguntou nada sobre estilo de vida, medicação que estou a fazer, etc. Achei estranho, mas assumi que estaria a ler o histórico das várias consultas a que já fui no Hospital da Luz.
2) Fez um comentário indelicado: ""Você quer que eu lhe veja os ouvidos, não é?"" (sendo a minha queixa relacionada com garganta e tendo uma pressão constante nos ouvidos). Como a médica sabia que eu tinha ido ao otorrino há 2 semanas, presumi que achasse ser desnecessário
3) Após ter-me feito um plano de tratamento para controlo de refluxo, disse-lhe que também gostaria de deixar de fumar. Ao que me respondeu ""Ah para isso tem de marcar uma outra consulta"". Perguntei-lhe se teria de ser consulta de cessação tabágica. Disse que não, que qualquer MGF trata disso, mas que tinha de ser uma consulta à parte porque é necessário avaliar as causas, etc.

Estive lá 10 MINUTOS. A minha queixa é que nunca li em lado nenhum que só se pode levar uma queixa por consulta.
",Tempo de espera 
"Venho por este meio apresentar uma reclamação relativamente ao atendimento recebido no dia de hoje.

Foi-nos marcada, por telefone, uma consulta no hospital para despiste de uma possível gravidez. Para comparecer, reorganizámos os nossos dias de trabalho e deslocámo-nos da margem sul até Lisboa, de forma a estarmos presentes no horário combinado.

No entanto, ao chegarmos ao hospital, a médica responsável (Drª Leonor Santos) demonstrou uma postura extremamente antipática e limitou-se a perguntar se existia possibilidade de gravidez. Após termos respondido que, em princípio, sim (com base num teste realizado), a médica informou que não poderia atender-nos, alegando apenas ter vagas disponíveis para Outubro ou Novembro.

Deste modo, fizemos uma deslocação longa, desmarcámos compromissos profissionais e pessoais, e ainda assim não fomos atendidos. Consideramos esta situação uma total falta de respeito para com os utentes, quer pelo tempo e recursos que investimos, quer pela necessidade de acompanhamento médico adequado e em tempo útil.

Solicitamos que esta situação seja analisada e que nos seja apresentada.",Atendimento Hospitalar
"Hoje tive de vir às urgências ao hospital da Luz de Aveiro devido a um acidente de trabalho… fiquei indignada com o tempo de demora. Cheguei às 11 da manhã e neste momento ainda estou a aguardar que me atendam (são 17:41 horas, estou há praticamente 7 horas à espera). Na receção e na triagem não dão qualquer informação de tempos de espera… inconcebível esta gestão de um hospital privado!!! Vergonhoso e inadmissível!!!",Tempo de espera 
"Venho por este meio expressar a minha insatisfação relativamente ao sistema de marcação de consultas. Tentei, por diversas vezes, entrar em contacto telefonicamente para remarcar uma consulta que foi cancelada, mas o sistema automático apenas disponibiliza datas para daqui a um ano. Em várias ocasiões, permaneci mais de 30 minutos em linha sem qualquer resolução.
Diante desta situação, fui obrigada a deslocar-me pessoalmente ao hospital para efetuar uma marcação, o que considero inaceitável. Acredito que este tipo de dificuldade no acesso ao atendimento possa levar à perda de utentes, caso não seja revista e melhorada a forma de funcionamento do sistema.",Exames Médicos
"Entramos para atendimento na emergência com meu filho às 13h com forte dor no olho esquerdo, a dor era tanto que ele vomitava. A pediatra de plantão deu um remédio para vômito e disse que ele precisava ser visto por um oftalmologista, era 19:40 e meu filho não tinha sido visto pelo oftalmologista ainda e não tinha tomado nada para dor.  Meu marido foi reclamar e a pediatra que estava no lugar da que havia avaliado meu filho, disse não saber o porquê o oftalmologista não tinha sido avisado e que precisava avaliar meu filho novamente antes de chamar o especialista. Tivemos que escalar o problema para que meu filho tivesse o diagnóstico às 23:45h. Um absurdo, falta de respeito , negligência total. Nota zero è muito para  este hospital,não recomendamos e não voltaremos.",Marcação de consulta
"Quero também reclamar da operadora que me atendeu o telefone no número 217104400 no dia 13 de setembro às 12h21. Disseram que enviariam uma equipa técnica para entrar em contacto comigo, mas nunca abriram um ticket técnico (como descobri mais tarde, quando falei com outra operadora, deveriam ter-me dado o número do ticket).

Quero também reclamar do facto de que, quando quero reclamar da operadora com quem falei na chamada anterior, tenho de me lembrar da hora e do nome da operadora (e posso já não me lembrar) para a incluir na reclamação. Embora seja mais fácil ligar para o 217104400 e obter o número de telefone da operadora sobre a qual quero reclamar.",Call Center
"No dia 3 de setembro, tive uma videoconsulta de Gastrenterologia com o Dr. João Cortez Pinto no Hospital da Luz Lisboa.

No dia anterior, recebi o contacto de uma enfermeira para saber o meu estado de saúde e se, de alguma forma, precisava de ajuda. Confirmei-lhe que apenas precisava da consulta que já estava marcada e perguntei-lhe de que forma o médico poderia ter acesso aos exames e análises que realizei nas Urgências de outro hospital. Informou-me de que deveria submeter a os resultados de exames e análises na app MyLuz e, assim, o médico teria acesso imediato na consulta.

Uma vez feito, na consulta o Dr. João Cortez Pinto disse que não tinha acesso, referindo mesmo que os médicos, em geral, não conseguem aceder. Em alternativa, forneceu-me o seu email para lhe enviar os resultados dos exames e análises, tendo ficado combinado que receberia feedback depois da consulta. Enviei-lhe os documentos no mesmo dia, ao final da tarde. Desde então, o médico nunca mais deu resposta. Enviei-lhe sucessivos emails a pedir retorno, mas sem sucesso.

Liguei para o Apoio ao Cliente do Hospital da Luz e informaram-me de que o médico regressaria no dia 10 de setembro. Hoje, dia 11 de setembro, continuo sem qualquer resposta do médico. Tentei encontrar no site do Hospital da Luz alguma secção onde pudesse formalizar a reclamação, mas sem sucesso, pelo que decidi fazer por aqui a exposição.",Pagamento de consultas
"Hoje 8 Setembro 2025, fui ao hospital da Luz Amadora para realizar uma série de exames ginecológicos, com comparticipação da minha seguradora a Medis CTT, qual é o meu espanto que quando chego a casa vou à aplicação para tirar a justificação da minha presença e tenho uma fatura de €39,20 para pagar de um exame que não tinha comparticipação e que não me foi dito nada nem na marcação que fiz diretamente no hospital nem quando me apresentei para fazer os exames.
É se eu não tiver dinheiro para pagar?
É uma falta de consideração pelo cliente neste hospital sei que não é a primeira vez que acontece.",Falta de Informação 
"O Hospital da Luz, reiteradamente, cancela datas de consultas e remarca-as sem consultar previamente o paciente. Uma consulta em concreto marcada há 1 ano para uma data especifica (por questões médicas) foi alterada sem o meu consentimento ou conhecimento prévio. Não fui contactada pelo Hospital pelos diferentes meios que fazem parte do meu registo hospitalar (contacto telefónico, sms ou email) para anuir - ou não - com a alteração proposta. Simplesmente recebi um email do hospital a INFORMAR que a consulta tinha sido alterada. Quando contactei presencialmente o hospital (porque telefonicamente e online não havia capacidade de darem resposta à minha pretensão) a data inicialmente marcada já estava preenchida. Reforço que a consulta foi especificamente marcada naquela data por questões médicas. O hospital não pode alterar consultas sem a anuência do paciente.",Tempo de espera 
"No passado dia 28 de julho realizei uma consulta da especialidade de Otorrinolaringologia, onde me foram feitos os exames de Endoscopia Nasal e Nasofaringolaringoscopia. A consulta e respetivos procedimentos foram faturados e pagos à data (total de 14,35€, com comparticipação da ADSE). Posteriormente, no dia 3 de setembro de 2025, recebi uma fatura adicional relativa a um suposto procedimento médico, realizado nessa mesma consulta, designado por ""Observação e tratamento sob microscopia"", no valor de 14,30€. Questionei os serviços para perceber em que consistia esse procedimento. Após vários contactos, foi-me informado que, para além do valor da consulta, é prática comum desta médica (Dra Carolina Serôdio) inserir o código de faturação deste procedimento que, segundo a mesma, consiste na observação do ouvido e retirada de cera. Perante estes factos, venho apresentar a minha reclamação por 2 motivos. Primeiro, entendo que ao realizar uma consulta desta especialidade, a observação dos ouvidos está incluída no âmbito da consulta, pelo que se trata nitidamente de uma caso de sobrefaturação. Concluo, até pelo valor cobrado pelo procedimento (14,30€), que a médica procurou um código que não seja comparticipado pela ADSE, de forma a lucrar financeiramente. Em segundo lugar, venho reclamar também pelo facto de esta fatura me ser apresentada mais de um mês depois da consulta realizada.",Marcação de consulta/Cancelamento
"No dia quarta-feira passada, desloquei-me ao Hospital da Luz para uma consulta de Ortopedia Geral. Porém, por lapso da vossa aplicação, fui encaminhada para um especialista de joelho, que não tinha qualquer relação com a minha situação clínica, o que resultou numa deslocação desnecessária e na continuação da minha espera por atendimento adequado.

Após esta situação, consegui marcar uma nova consulta para hoje, motivo pelo qual desmarquei a consulta que tinha agendada para quarta-feira, dia 12. No entanto, para minha surpresa e indignação, a consulta de hoje foi desmarcada pelo hospital.

Estou há imenso tempo à espera por uma consulta na especialidade correta, encontrando-me com um problema de saúde grave que necessita de avaliação urgente. Esta sequência de erros — primeiro, o lapso na marcação pela aplicação, e agora a desmarcação sem solução imediata — é inadmissível.

Reforço que não pretendo ser encaminhada para o serviço Luz24, pois o que necessito é de uma consulta programada na especialidade adequada, o mais rápido possível.

Solicito que esta situação seja revista com a máxima urgência, que me seja agendada uma consulta imediata, e que sejam tomadas medidas para que falhas como estas não voltem a acontecer.",Marcação de Consulta
"Efectuei um agendamento de exames para o Hospital da Luz em Vila Franca de Xira, durante o agendamento e durante o exame, nunca me foi explicado que para ter as imagens do exame teria de pagar para ter os exames fisicamente.
A minha medica não pertence à rede dos Hospitais da Luz, falei com a coordenadora no Hospital da Luz, em que me indicou que teria de ler as condiçoes gerais no vosso site. Não acho normal ninguem me informar desta situação,e que para fazer um exame tenho de ir consultar as vossas condições no site, acho extremamente anormal.
A unica coisa que peço são as minhas imagens num cd ou pen.",Atendimento Hospitalar
